pitch control
time,pitch\_input,pitch\_setpoint,elevator\_angle\_output,
seconds,rad,rad,rad,
5495.58160567, -0.04190000, -0.03330000,  0.16380000,
5495.68166780, -0.04230000, -0.03220000,  0.16930000,
5495.78162670, -0.04290000, -0.03440000,  0.16350000,
5495.88202333, -0.04340000, -0.03210000,  0.16900000,
5495.98160648, -0.04360000, -0.03320000,  0.15990000,
5496.08159208, -0.04410000, -0.03210000,  0.15970000,
5496.18162179, -0.04420000, -0.03270000,  0.14170000,
5496.28165174, -0.04400000, -0.03160000,  0.12680000,
5496.38165712, -0.04360000, -0.03160000,  0.10960000,
5496.48173881, -0.04330000, -0.03170000,  0.11410000,
5496.58161211, -0.04300000, -0.03170000,  0.11440000,
5496.68155837, -0.04290000, -0.03170000,  0.11850000,
5496.78168035, -0.04230000, -0.03060000,  0.11930000,
5496.88158798, -0.04210000, -0.03230000,  0.11170000,
5496.98158765, -0.04180000, -0.03130000,  0.10700000,
5497.08160853, -0.04150000, -0.03010000,  0.11160000,
5497.18167233, -0.04120000, -0.03360000,  0.09440000,
5497.28168607, -0.04060000, -0.03020000,  0.10440000,
5497.38162255, -0.04020000, -0.03360000,  0.09570000,
5497.48160338, -0.03990000, -0.03140000,  0.10810000,
5497.58160663, -0.03970000, -0.03200000,  0.11210000,
5497.68211150, -0.03970000, -0.03320000,  0.12550000,
5497.78175259, -0.03990000, -0.03310000,  0.13710000,
5497.88156366, -0.04000000, -0.03320000,  0.14570000,
5497.98173380, -0.04010000, -0.03380000,  0.14050000,
5498.08169937, -0.04050000, -0.03210000,  0.14740000,
5498.18160200, -0.04060000, -0.03260000,  0.14090000,
5498.28166199, -0.04120000, -0.03160000,  0.15050000,
5498.38162160, -0.04150000, -0.03100000,  0.14670000,
5498.48159933, -0.04160000, -0.03330000,  0.13400000,
5498.58163095, -0.04150000, -0.03330000,  0.11550000,
5498.68171906, -0.04120000, -0.03160000,  0.10940000,
5498.78166485, -0.04080000, -0.03280000,  0.09570000,
5498.88179636, -0.04020000, -0.03220000,  0.10150000,
5498.98162246, -0.03980000, -0.03160000,  0.10020000,
5499.08162785, -0.03960000, -0.03050000,  0.11460000,
5499.18156624, -0.03930000, -0.03330000,  0.10720000,
5499.28157353, -0.03920000, -0.03150000,  0.12410000,
5499.38166738, -0.03930000, -0.03100000,  0.13410000,
5499.48166585, -0.03970000, -0.03320000,  0.13380000,
5499.58161092, -0.04010000, -0.03150000,  0.14510000,
5499.68162012, -0.04060000, -0.03260000,  0.14840000,
5499.78186345, -0.04080000, -0.03150000,  0.15260000,
5499.88160110, -0.04130000, -0.02970000,  0.16230000,
5499.98169208, -0.04140000, -0.03370000,  0.13570000,
