altitude
time,h,h_0,h_1,h_2,h_3,
seconds,m,m,m,m,m,
2961.83749509,  6.65980800,  6.70200000,  6.63700000,  6.50700000,  6.80000000,
2961.95153046,  6.65507000,  6.80000000,  6.50700000,  6.41000000,  6.93000000,
2962.05972981,  6.68469200,  6.93000000,  6.47500000,  6.41000000,  6.96200000,
2962.16366053,  6.66563900,  6.96200000,  6.37700000,  6.41000000,  6.96200000,
2962.27164769,  6.69544100,  6.96200000,  6.47500000,  6.50700000,  6.86500000,
2962.38162541,  6.69319900,  6.80000000,  6.57200000,  6.67000000,  6.73500000,
2962.48969698,  6.71704200,  6.67000000,  6.83200000,  6.80000000,  6.57200000,
2962.60174584,  6.75485800,  6.47500000,  7.06000000,  7.06000000,  6.47500000,
2962.71718621,  6.77496500,  6.41000000,  7.31900000,  7.09200000,  6.37700000,
2962.82570314,  6.79595900,  6.28000000,  7.44900000,  7.18900000,  6.41000000,
2962.92981029,  6.83286700,  6.28000000,  7.51400000,  7.25400000,  6.44200000,
2963.04365897,  6.74419100,  6.24700000,  7.35200000,  7.09200000,  6.41000000,
2963.14874244,  6.73288000,  6.31200000,  7.22200000,  6.93000000,  6.54000000,
2963.25803924,  6.74080900,  6.37700000,  7.09200000,  6.86500000,  6.67000000,
2963.37169886,  6.71263500,  6.44200000,  6.99500000,  6.67000000,  6.76700000,
2963.47616768,  6.69649800,  6.44200000,  6.96200000,  6.60500000,  6.80000000,
2963.58372283,  6.71502900,  6.57200000,  6.89700000,  6.57200000,  6.83200000,
2963.69273114,  6.71708500,  6.63700000,  6.83200000,  6.60500000,  6.80000000,
2963.80940270,  6.69350900,  6.60500000,  6.76700000,  6.70200000,  6.70200000,
2963.91903758,  6.70929700,  6.60500000,  6.80000000,  6.80000000,  6.63700000,
2964.02273560,  6.73665900,  6.70200000,  6.73500000,  7.06000000,  6.47500000,
2964.13160586,  6.77319700,  6.76700000,  6.80000000,  7.15700000,  6.41000000,
2964.24576640,  6.79062700,  6.76700000,  6.83200000,  7.41700000,  6.24700000,
2964.34976912,  6.85363700,  6.89700000,  6.83200000,  7.61200000,  6.21500000,
2964.46011996,  6.83708000,  6.80000000,  6.86500000,  7.70900000,  6.15000000,
2964.56979060,  6.84710100,  6.76700000,  6.93000000,  7.77400000,  6.11700000,
2964.67980266,  6.86471300,  6.73500000,  7.02700000,  7.83900000,  6.08500000,
2964.79375792,  6.83597300,  6.70200000,  6.99500000,  7.77400000,  6.08500000,
2964.89876366,  6.82024300,  6.57200000,  7.09200000,  7.80700000,  6.05200000,
2965.01123309,  6.80311300,  6.54000000,  7.09200000,  7.70900000,  6.08500000,
2965.12234735,  6.75844300,  6.50700000,  7.09200000,  7.57900000,  6.05200000,
2965.23774099,  6.75353600,  6.47500000,  7.09200000,  7.54700000,  6.08500000,
2965.34626722,  6.74954500,  6.41000000,  7.12400000,  7.48200000,  6.15000000,
2965.45513773,  6.76387600,  6.37700000,  7.15700000,  7.51400000,  6.18200000,
2965.55895329,  6.75765700,  6.37700000,  7.18900000,  7.44900000,  6.18200000,
2965.67286325,  6.76627400,  6.37700000,  7.18900000,  7.35200000,  6.28000000,
2965.77992749,  6.72091300,  6.34500000,  7.18900000,  7.06000000,  6.37700000,
2965.89025617,  6.69859500,  6.34500000,  7.06000000,  6.89700000,  6.54000000,
2966.00015163,  6.66336800,  6.41000000,  6.99500000,  6.63700000,  6.63700000,
2966.10652280,  6.66351400,  6.37700000,  6.93000000,  6.60500000,  6.76700000,
2966.21739745,  6.64763100,  6.44200000,  6.89700000,  6.47500000,  6.80000000,
2966.32924247,  6.64061500,  6.44200000,  6.86500000,  6.50700000,  6.76700000,
2966.43357921,  6.64584900,  6.34500000,  6.96200000,  6.57200000,  6.73500000,
2966.54579139,  6.63793400,  6.21500000,  7.12400000,  6.67000000,  6.60500000,
2966.65058208,  6.62725200,  6.18200000,  7.15700000,  6.67000000,  6.57200000,
2966.75971174,  6.63511500,  6.18200000,  7.15700000,  6.70200000,  6.57200000,
2966.87347078,  6.60211700,  6.24700000,  6.99500000,  6.67000000,  6.54000000,
2966.97679353,  6.59094800,  6.31200000,  6.86500000,  6.60500000,  6.60500000,
2967.08985448,  6.60359000,  6.50700000,  6.73500000,  6.54000000,  6.63700000,
2967.19837976,  6.61073900,  6.73500000,  6.50700000,  6.47500000,  6.73500000,
2967.30669570,  6.62667800,  6.93000000,  6.31200000,  6.44200000,  6.86500000,
2967.41317630,  6.68080000,  7.15700000,  6.28000000,  6.37700000,  6.99500000,
2967.52775288,  6.65836900,  7.22200000,  6.21500000,  6.31200000,  6.99500000,
2967.63166237,  6.67666400,  7.12400000,  6.31200000,  6.41000000,  6.93000000,
2967.73968363,  6.62362600,  6.80000000,  6.37700000,  6.50700000,  6.83200000,
2967.85275316,  6.63700000,  6.63700000,  6.63700000,  6.63700000,  6.63700000,
2967.95746732,  6.62939200,  6.37700000,  6.86500000,  6.86500000,  6.44200000,
2968.07005620,  6.65971600,  6.21500000,  7.18900000,  7.15700000,  6.21500000,
2968.17358208,  6.73672900,  6.08500000,  7.54700000,  7.35200000,  6.21500000,
2968.28360701,  6.83770900,  6.08500000,  7.77400000,  7.57900000,  6.24700000,
2968.39710903,  6.82854300,  6.11700000,  7.70900000,  7.54700000,  6.24700000,
2968.50599289,  6.74988800,  6.15000000,  7.51400000,  7.35200000,  6.21500000,
2968.61862874,  6.72595800,  6.28000000,  7.22200000,  7.09200000,  6.41000000,
2968.72800994,  6.66777000,  6.54000000,  6.80000000,  6.76700000,  6.57200000,
2968.83358455,  6.70920000,  6.76700000,  6.70200000,  6.57200000,  6.80000000,
2968.94260311,  6.76324900,  6.99500000,  6.47500000,  6.50700000,  7.12400000,
2969.05057311,  6.79687500,  7.12400000,  6.47500000,  6.44200000,  7.22200000,
2969.16009498,  6.82603000,  7.22200000,  6.47500000,  6.44200000,  7.25400000,
2969.26954675,  6.80023800,  7.12400000,  6.50700000,  6.47500000,  7.15700000,
2969.38304257,  6.76730600,  6.99500000,  6.54000000,  6.54000000,  7.02700000,
2969.48798394,  6.74250900,  6.80000000,  6.70200000,  6.67000000,  6.80000000,
2969.59652829,  6.70849500,  6.63700000,  6.80000000,  6.83200000,  6.57200000,
2969.71055007,  6.74094900,  6.50700000,  6.99500000,  7.02700000,  6.47500000,
2969.81655955,  6.71899300,  6.37700000,  7.15700000,  7.12400000,  6.31200000,
2969.92756081,  6.72430000,  6.31200000,  7.18900000,  7.15700000,  6.34500000,
2970.03652096,  6.69380800,  6.28000000,  7.15700000,  7.09200000,  6.34500000,
2970.14833808,  6.66839900,  6.31200000,  7.06000000,  6.99500000,  6.37700000,
2970.25685906,  6.66968300,  6.41000000,  6.89700000,  6.93000000,  6.47500000,
2970.36321330,  6.64111600,  6.47500000,  6.83200000,  6.80000000,  6.47500000,
2970.47569370,  6.64396400,  6.54000000,  6.76700000,  6.70200000,  6.57200000,
2970.58484983,  6.61249900,  6.57200000,  6.67000000,  6.67000000,  6.54000000,
2970.69190598,  6.62898900,  6.57200000,  6.67000000,  6.60500000,  6.67000000,
2970.79883838,  6.62063700,  6.57200000,  6.67000000,  6.67000000,  6.57200000,
2970.90834975,  6.62874300,  6.60500000,  6.70200000,  6.63700000,  6.57200000,
2971.01858711,  6.64443300,  6.57200000,  6.73500000,  6.70200000,  6.57200000,
2971.12586784,  6.64460700,  6.54000000,  6.73500000,  6.70200000,  6.60500000,
2971.23665452,  6.61840900,  6.50700000,  6.73500000,  6.76700000,  6.47500000,
2971.34249640,  6.62835300,  6.57200000,  6.67000000,  6.73500000,  6.54000000,
2971.45151520,  6.66078200,  6.67000000,  6.67000000,  6.76700000,  6.54000000,
2971.56053090,  6.63624800,  6.67000000,  6.63700000,  6.73500000,  6.50700000,
2971.67170954,  6.61940700,  6.67000000,  6.54000000,  6.76700000,  6.50700000,
2971.78156304,  6.61073900,  6.73500000,  6.50700000,  6.73500000,  6.47500000,
2971.88887024,  6.63288500,  6.73500000,  6.54000000,  6.86500000,  6.41000000,
2971.99369264,  6.64954000,  6.67000000,  6.60500000,  6.89700000,  6.44200000,
2972.10671973,  6.63001900,  6.63700000,  6.67000000,  6.93000000,  6.31200000,
2972.21810818,  6.63946900,  6.50700000,  6.80000000,  7.06000000,  6.24700000,
2972.32267237,  6.64691500,  6.37700000,  6.96200000,  7.25400000,  6.11700000,
2972.43167067,  6.70800200,  6.31200000,  7.06000000,  7.48200000,  6.15000000,
2972.54078150,  6.70223200,  6.34500000,  7.15700000,  7.35200000,  6.11700000,
2972.64975524,  6.69407300,  6.37700000,  6.99500000,  7.35200000,  6.18200000,
2972.76093531,  6.66154300,  6.44200000,  6.89700000,  7.09200000,  6.28000000,
2972.87188745,  6.67370800,  6.57200000,  6.76700000,  6.89700000,  6.47500000,
2972.97835207,  6.63610100,  6.67000000,  6.57200000,  6.76700000,  6.54000000,
2973.08950043,  6.70787900,  6.89700000,  6.54000000,  6.70200000,  6.70200000,
2973.19585347,  6.72248200,  6.96200000,  6.50700000,  6.67000000,  6.76700000,
2973.30195785,  6.71965400,  7.02700000,  6.44200000,  6.63700000,  6.80000000,
2973.41358805,  6.73043000,  6.96200000,  6.57200000,  6.57200000,  6.83200000,
2973.52655888,  6.70883200,  6.83200000,  6.60500000,  6.60500000,  6.80000000,
2973.63260961,  6.68585400,  6.67000000,  6.73500000,  6.60500000,  6.73500000,
2973.74062490,  6.69336100,  6.60500000,  6.80000000,  6.73500000,  6.63700000,
2973.84946132,  6.71357400,  6.50700000,  6.93000000,  6.86500000,  6.57200000,
2973.95916176,  6.71557500,  6.41000000,  7.02700000,  6.96200000,  6.50700000,
2974.06958914,  6.74634500,  6.37700000,  7.15700000,  7.12400000,  6.41000000,
2974.17651629,  6.74247500,  6.41000000,  7.15700000,  7.18900000,  6.31200000,
2974.28851986,  6.75513100,  6.54000000,  6.96200000,  7.12400000,  6.44200000,
2974.39968467,  6.77755600,  6.89700000,  6.70200000,  7.02700000,  6.50700000,
2974.50695586,  6.78986000,  7.18900000,  6.47500000,  6.83200000,  6.70200000,
2974.61585689,  6.86770800,  7.61200000,  6.18200000,  6.83200000,  6.99500000,
2974.73168015,  6.95036200,  8.13200000,  6.08500000,  6.73500000,  7.15700000,
2974.84166312,  6.99702300,  8.32600000,  6.05200000,  6.73500000,  7.25400000,
2974.95159554,  6.96850100,  8.32600000,  5.98700000,  6.76700000,  7.18900000,
2975.06167150,  6.96113400,  8.13200000,  6.08500000,  6.86500000,  7.06000000,
2975.16877103,  6.90598700,  7.87200000,  6.11700000,  7.06000000,  6.80000000,
2975.27906680,  6.79124000,  7.35200000,  6.31200000,  7.06000000,  6.54000000,
2975.38977194,  6.79215500,  7.02700000,  6.57200000,  7.35200000,  6.31200000,
2975.49472737,  6.77353700,  6.73500000,  6.83200000,  7.51400000,  6.15000000,
2975.60727859,  6.83882900,  6.54000000,  7.15700000,  7.87200000,  6.05200000,
2975.71926761,  6.83288900,  6.44200000,  7.31900000,  7.90400000,  5.98700000,
2975.82880974,  6.84195700,  6.34500000,  7.38400000,  7.96900000,  6.02000000,
2975.93807316,  6.77436300,  6.28000000,  7.31900000,  7.67700000,  6.08500000,
2976.04721808,  6.72569200,  6.41000000,  7.09200000,  7.44900000,  6.11700000,
2976.15898228,  6.73647100,  6.50700000,  6.96200000,  7.28700000,  6.28000000,
2976.26799893,  6.71383300,  6.60500000,  6.80000000,  7.15700000,  6.34500000,
2976.37764096,  6.69339100,  6.63700000,  6.73500000,  7.06000000,  6.37700000,
2976.48597074,  6.71805900,  6.67000000,  6.73500000,  7.09200000,  6.41000000,
2976.59661531,  6.74190200,  6.67000000,  6.83200000,  7.09200000,  6.41000000,
2976.70596075,  6.75544900,  6.70200000,  6.83200000,  7.15700000,  6.37700000,
2976.81407356,  6.70003900,  6.67000000,  6.73500000,  7.09200000,  6.34500000,
2976.92185831,  6.69741700,  6.63700000,  6.76700000,  7.12400000,  6.31200000,
2977.03500247,  6.76215600,  6.63700000,  6.89700000,  7.31900000,  6.28000000,
2977.14500093,  6.71863900,  6.57200000,  6.86500000,  7.31900000,  6.21500000,
2977.25396919,  6.74359800,  6.57200000,  6.89700000,  7.44900000,  6.18200000,
2977.36096096,  6.76875400,  6.63700000,  6.93000000,  7.54700000,  6.11700000,
2977.47097158,  6.77024300,  6.63700000,  6.89700000,  7.64400000,  6.08500000,
2977.58201456,  6.81819000,  6.76700000,  6.96200000,  7.74200000,  6.02000000,
2977.69102335,  6.78571800,  6.80000000,  6.83200000,  7.64400000,  6.05200000,
2977.80112314,  6.79293200,  6.86500000,  6.70200000,  7.61200000,  6.15000000,
2977.90845418,  6.78485900,  6.83200000,  6.70200000,  7.61200000,  6.15000000,
2978.01512980,  6.79613000,  6.96200000,  6.63700000,  7.54700000,  6.18200000,
