depth
time,pressure,depth_raw,depth_filt,
seconds,Pa,m,m,
2964.44139433,-3598.79190000, -0.36700000, -0.42700000,
2964.55795908,-3469.28270000, -0.35380000, -0.41970000,
2964.65928292,-3352.36200000, -0.34180000, -0.41190000,
2964.75987172,-3313.07060000, -0.33780000, -0.40450000,
2964.85982871,-3291.51750000, -0.33560000, -0.39760000,
2964.95970798,-3324.32390000, -0.33900000, -0.39180000,
2965.06124663,-3349.50100000, -0.34160000, -0.38670000,
2965.15977836,-3374.67800000, -0.34410000, -0.38250000,
2965.26075459,-3387.64800000, -0.34540000, -0.37880000,
2965.34132385,-3412.44360000, -0.34800000, -0.37570000,
2965.46690536,-3504.75950000, -0.35740000, -0.37390000,
2965.56653953,-3628.16510000, -0.37000000, -0.37350000,
2965.66672921,-3762.25200000, -0.38360000, -0.37450000,
2965.76541829,-3884.70400000, -0.39610000, -0.37670000,
2965.86563373,-4099.28110000, -0.41800000, -0.38080000,
2965.96757364,-4181.29720000, -0.42640000, -0.38530000,
2966.04134798,-4339.98890000, -0.44260000, -0.39110000,
2966.16808987,-4435.92870000, -0.45230000, -0.39720000,
2966.26784229,-4479.22560000, -0.45680000, -0.40320000,
2966.36552882,-4568.68040000, -0.46590000, -0.40940000,
2966.46652031,-4590.04280000, -0.46810000, -0.41530000,
2966.56665015,-4574.40250000, -0.46650000, -0.42040000,
2966.66784978,-4520.42440000, -0.46100000, -0.42450000,
2966.76850724,-4534.72960000, -0.46240000, -0.42830000,
2966.86953926,-4544.64780000, -0.46340000, -0.43180000,
2966.96997857,-4455.19300000, -0.45430000, -0.43400000,
2967.06945181,-4417.04600000, -0.45040000, -0.43570000,
2967.16643977,-4397.20950000, -0.44840000, -0.43690000,
2967.27152109,-4379.85260000, -0.44660000, -0.43790000,
2967.37035489,-4364.21230000, -0.44500000, -0.43860000,
2967.47130942,-4297.26420000, -0.43820000, -0.43860000,
2967.57327914,-4214.48520000, -0.42980000, -0.43770000,
2967.67255211,-4016.31130000, -0.40950000, -0.43490000,
2967.76590586,-3957.18340000, -0.40350000, -0.43170000,
2967.87353230,-3971.67920000, -0.40500000, -0.42910000,
2967.97438216,-3954.70380000, -0.40330000, -0.42650000,
2968.06534815,-3977.40130000, -0.40560000, -0.42440000,
2968.17476106,-4034.81260000, -0.41140000, -0.42310000,
2968.27551246,-4124.26740000, -0.42060000, -0.42280000,
2968.37546372,-4192.55060000, -0.42750000, -0.42330000,
2968.47669125,-4218.87210000, -0.43020000, -0.42400000,
2968.57922697,-4238.51780000, -0.43220000, -0.42480000,
2968.66742516,-4300.69750000, -0.43850000, -0.42620000,
2968.77853584,-4302.41410000, -0.43870000, -0.42740000,
2968.87955379,-4364.59380000, -0.44510000, -0.42920000,
2968.97927523,-4367.45480000, -0.44540000, -0.43080000,
2969.08006501,-4372.41390000, -0.44590000, -0.43230000,
2969.18079329,-4325.49310000, -0.44110000, -0.43320000,
2969.28006601,-4326.63750000, -0.44120000, -0.43400000,
2969.38194466,-4348.95350000, -0.44350000, -0.43490000,
2969.48143816,-4333.31320000, -0.44190000, -0.43560000,
2969.58209872,-4341.70550000, -0.44270000, -0.43640000,
2969.68200135,-4279.90730000, -0.43640000, -0.43640000,
2969.78308964,-4259.49870000, -0.43430000, -0.43620000,
2969.88530278,-4232.22350000, -0.43160000, -0.43570000,
2969.98297501,-4171.56970000, -0.42540000, -0.43470000,
2970.08423615,-4073.91330000, -0.41540000, -0.43270000,
2970.18404627,-4066.85610000, -0.41470000, -0.43090000,
2970.28547168,-3966.91090000, -0.40450000, -0.42830000,
2970.38611126,-3927.61940000, -0.40050000, -0.42550000,
2970.48701525,-3921.13440000, -0.39980000, -0.42290000,
2970.58719921,-3903.58680000, -0.39810000, -0.42050000,
2970.68684721,-3874.21350000, -0.39510000, -0.41790000,
2970.78959203,-3819.09110000, -0.38940000, -0.41510000,
2970.88851023,-3846.55690000, -0.39220000, -0.41280000,
2970.99007392,-3830.72590000, -0.39060000, -0.41060000,
2971.08997416,-3783.42360000, -0.38580000, -0.40810000,
2971.16773176,-3749.85420000, -0.38240000, -0.40550000,
2971.29147434,-3693.58730000, -0.37660000, -0.40260000,
2971.39087772,-3685.38570000, -0.37580000, -0.40000000,
2971.49063015,-3626.63920000, -0.36980000, -0.39690000,
2971.59149337,-3567.89280000, -0.36380000, -0.39360000,
2971.69272304,-3497.51150000, -0.35660000, -0.38990000,
2971.79312015,-3406.53080000, -0.34740000, -0.38570000,
