DVL
time,v_x,v_y,v_z,data\_good,
seconds,m/s,m/s,m/s,bool,
3151.51817632,  1.47500000, -0.10300000, -0.01200000,  1.00000000,
3151.61320925,  1.47000000, -0.14400000, -0.04200000,  1.00000000,
3151.71420932,  1.49400000, -0.11200000, -0.03300000,  1.00000000,
3151.81017780,  1.50300000, -0.15100000, -0.02800000,  1.00000000,
3151.90726829,  1.46600000, -0.15400000, -0.03200000,  1.00000000,
3152.00280166,  1.50200000, -0.14000000, -0.01800000,  1.00000000,
3152.10019326,  1.47300000, -0.17300000, -0.02200000,  1.00000000,
3152.19414043,  1.49100000, -0.17100000, -0.01600000,  1.00000000,
3152.29024220,  1.50500000, -0.15800000, -0.01100000,  1.00000000,
3152.38626456,  1.47000000, -0.17800000, -0.02200000,  1.00000000,
3152.48174715,  1.44500000, -0.17500000, -0.00900000,  1.00000000,
3152.57927752,  1.49300000, -0.13900000,  0.00400000,  1.00000000,
3152.67121124,  1.48000000, -0.15600000, -0.01800000,  1.00000000,
3152.77122378,  1.49400000, -0.12100000, -0.01400000,  1.00000000,
3152.86815023,  1.44700000, -0.15200000, -0.01700000,  1.00000000,
3152.96621752,  1.43500000, -0.14600000, -0.02900000,  1.00000000,
3153.05719185,  1.43500000, -0.10700000, -0.00600000,  1.00000000,
3153.15426207,  1.47900000, -0.10800000, -0.02900000,  1.00000000,
3153.25227857,  1.44700000, -0.12500000, -0.03300000,  1.00000000,
3153.34819388,  1.46900000, -0.14000000, -0.03100000,  1.00000000,
3153.44414353,  1.47200000, -0.16800000, -0.03900000,  1.00000000,
3153.54080749,  1.44300000, -0.13500000, -0.01400000,  1.00000000,
3153.63761091,  1.45900000, -0.18100000, -0.03100000,  1.00000000,
3153.73389125,  1.46400000, -0.16700000, -0.02200000,  1.00000000,
3153.82732105,  1.46200000, -0.18700000, -0.02300000,  1.00000000,
3153.92565393,  1.42900000, -0.15100000, -0.02500000,  1.00000000,
3154.02127767,  1.43700000, -0.17200000, -0.02700000,  1.00000000,
3154.11932683,  1.41300000, -0.19200000, -0.03300000,  1.00000000,
3154.21527863,  1.40800000, -0.15900000, -0.04400000,  1.00000000,
3154.30723286,  1.50100000, -0.18500000, -0.04600000,  1.00000000,
3154.40627408,  1.44200000, -0.15700000, -0.02400000,  1.00000000,
3154.50300741,  1.46000000, -0.16600000, -0.02000000,  1.00000000,
3154.59834337,  1.46700000, -0.19700000, -0.03300000,  1.00000000,
3154.69352221,  1.45000000, -0.17000000, -0.03000000,  1.00000000,
3154.79033041,  1.44100000, -0.21200000, -0.04100000,  1.00000000,
3154.88529158,  1.44000000, -0.16000000, -0.04900000,  1.00000000,
3154.98221087,  1.42200000, -0.19000000, -0.03400000,  1.00000000,
3155.08272529,  1.44000000, -0.17300000, -0.06400000,  1.00000000,
3155.17726326,  1.43800000, -0.14900000, -0.04900000,  1.00000000,
3155.27332258,  1.46900000, -0.14600000, -0.05600000,  1.00000000,
3155.36948586,  1.47400000, -0.16300000, -0.06200000,  1.00000000,
3155.46551371,  1.45600000, -0.14800000, -0.05000000,  1.00000000,
3155.56154013,  1.42500000, -0.16900000, -0.04400000,  1.00000000,
3155.65744662,  1.41700000, -0.12000000, -0.05300000,  1.00000000,
