line tracking
time,cross\_track\_err\_input,cross\_track\_err\_setpoint,yaw\_line,yaw\_setpoint,
seconds,m,m,rad,rad,
5149.89579272, -0.46000000,  0.00000000,  3.92490000,  4.11910000,
5149.99606133, -0.47000000,  0.00000000,  3.92490000,  4.12000000,
5150.09630346, -0.49000000,  0.00000000,  3.92490000,  4.12190000,
5150.19590878, -0.50000000,  0.00000000,  3.92490000,  4.12300000,
5150.29608321, -0.47000000,  0.00000000,  3.92490000,  4.12070000,
5150.39623475, -0.52000000,  0.00000000,  3.92490000,  4.12440000,
5150.49610853, -0.48000000,  0.00000000,  3.92490000,  4.12210000,
5150.59625626, -0.48000000,  0.00000000,  3.92490000,  4.12250000,
5150.69586515, -0.50000000,  0.00000000,  3.92490000,  4.12370000,
5150.79582453, -0.48000000,  0.00000000,  3.92490000,  4.12300000,
5150.89588904, -0.48000000,  0.00000000,  3.92490000,  4.12340000,
5150.99628139, -0.45000000,  0.00000000,  3.92490000,  4.12120000,
5151.09577823, -0.41000000,  0.00000000,  3.92490000,  4.11880000,
5151.19661999, -0.39000000,  0.00000000,  3.92490000,  4.11750000,
5151.29616356, -0.38000000,  0.00000000,  3.92490000,  4.11720000,
5151.39579773, -0.38000000,  0.00000000,  3.92490000,  4.11770000,
5151.49605846, -0.39000000,  0.00000000,  3.92490000,  4.11810000,
5151.59578514, -0.35000000,  0.00000000,  3.92490000,  4.11590000,
5151.69583702, -0.36000000,  0.00000000,  3.92490000,  4.11660000,
5151.79575109, -0.30000000,  0.00000000,  3.92490000,  4.11310000,
5151.89579344, -0.29000000,  0.00000000,  3.92490000,  4.11210000,
5151.99575591, -0.28000000,  0.00000000,  3.92490000,  4.11190000,
5152.09573221, -0.28000000,  0.00000000,  3.92490000,  4.11170000,
5152.19578862, -0.28000000,  0.00000000,  3.92490000,  4.11230000,
5152.29583073, -0.27000000,  0.00000000,  3.92490000,  4.11170000,
5152.39585757, -0.23000000,  0.00000000,  3.92490000,  4.10930000,
5152.49631786, -0.24000000,  0.00000000,  3.92490000,  4.11000000,
5152.59625411, -0.20000000,  0.00000000,  3.92490000,  4.10740000,
5152.69587350, -0.19000000,  0.00000000,  3.92490000,  4.10630000,
5152.79586267, -0.16000000,  0.00000000,  3.92490000,  4.10470000,
5152.89612770, -0.15000000,  0.00000000,  3.92490000,  4.10410000,
5152.99600482, -0.13000000,  0.00000000,  3.92490000,  4.10280000,
5153.09602833, -0.12000000,  0.00000000,  3.92490000,  4.10200000,
5153.19635534, -0.06000000,  0.00000000,  3.92490000,  4.09790000,
5153.29582715, -0.04000000,  0.00000000,  3.92490000,  4.09690000,
5153.39637661, -0.05000000,  0.00000000,  3.92490000,  4.09740000,
